---,Name Text Normal,Name Text Romanized,Favorite Food,Level,Type,Speciality #1,Speciality #2,Speciality #3,Sleep Time,Training Preference,Sprite,Mesh,Animation,Material,Prefered Map ID,Default Weight,Energy Capacity,Energy Threshold,Energy Usage,Poop Size,Poop Timer,Height,AI Partner Distance,Scale,Head Bone,Mouth Bone,Chest Bone,Foot Bone Right,Foot Bone Left,Footstep Sound,Eat Sound,Attack Sound,Glad Sound,Down Sound,Feeding Time #1,Feeding Time #2,Feeding Time #3,Feeding Time #4,Feeding Time #5,Feeding Time #6,Feeding Time #7,Feeding Time #8,Enabled Technique #1,Enabled Technique #2,Enabled Technique #3,Enabled Technique #4,Enabled Technique #5,Enabled Technique #6,Enabled Technique #7,Enabled Technique #8,Enabled Technique #9,Enabled Technique #10,Enabled Technique #11,Enabled Technique #12,Enabled Technique #13,Enabled Technique #14,Enabled Technique #15,Enabled Technique #16,Default Technique,Finisher Index,Animation Attack Short,Animation Attack Long,Animation Attack Special 01,Animation Attack Special 02,Animation Damaged,Animation Guard,Animation Get Up,Animation Down,Animation Win / Glad,Animation Eat,Statsgain - HP,Statsgain - MP,Statsgain - Offense,Statsgain - Defense,Statsgain - Speed,Statsgain - Brains,Digivolution Requirement - Bonus,Digivolution Requirement - HP,Digivolution Requirement - MP,Digivolution Requirement - Offense,Digivolution Requirement - Defense,Digivolution Requirement - Speed,Digivolution Requirement - Brains,Digivolution Requirement - Care Mistakes,Digivolution Requirement - Weight,Digivolution Requirement - Happiness,Digivolution Requirement - Discipline,Digivolution Requirement - Battles Won,Digivolution Requirement - Techniques,Digivolution Requirement - Max Battles,Digivolution Requirement - Max Care Mistakes,Digivoluton - From #1,Digivoluton - From #2,Digivoluton - From #3,Digivoluton - From #4,Digivoluton - From #5,Digivoluton - To #1,Digivoluton - To #2,Digivoluton - To #3,Digivoluton - To #4,Digivoluton - To #5,Digivoluton - To #6
MegaSeadramon,"MegaSeadramon","MegaSeadramon","DigiSeabass","Ultimate","Data","Ice","Air","None","Groogy","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_MegaSeadramon.DigimonSprite_MegaSeadramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/MegaSeadramon/SkeletalMesh_MegaSeadramon.SkeletalMesh_MegaSeadramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/MegaSeadramon/Animation_MegaSeadramon.Animation_MegaSeadramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/MegaSeadramon/DigimonMaterial_MegaSeadramon.DigimonMaterial_MegaSeadramon'"")","4","30","80","42","8","1","36","0","300","1.400000","J_head","J_mouth","J_center","None","None","None","None","None","None","None","0","5","9","14","19","-1","-1","-1","21","22","23","32","33","34","35","36","37","38","39","-1","-1","-1","-1","-1","34","107","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_attack01.MegaSeadramon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_attack02.MegaSeadramon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_special01.MegaSeadramon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_damage.MegaSeadramon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_guard.MegaSeadramon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_getup.MegaSeadramon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_down.MegaSeadramon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_win.MegaSeadramon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MegaSeadramon/MegaSeadramon_Anim_eat.MegaSeadramon_Anim_eat'","3000","6000","600","600","300","600","None","-1","4000","500","400","-1","400","5","30","-1","-1","0","40","True","True","Seadramon","Whamon","Shellmon","Coelamon","Garurumon","None","None","None","None","None","None"
Meramon,"Meramon","Meramon","SuperCarrot","Champion","Data","Fire","None","Battle","Sunset","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Meramon.DigimonSprite_Meramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Meramon/SkeletalMesh_Meramon.SkeletalMesh_Meramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Meramon/Animation_Meramon.Animation_Meramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Meramon/DigimonMaterial_Meramon.DigimonMaterial_Meramon'"")","0","20","80","35","8","1","36","0","200","1.100000","J_head","J_head","J_center","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00012.SL_00012'","None","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","4","9","14","18","23","-1","-1","-1","0","1","2","3","4","5","6","10","12","13","-1","-1","-1","-1","-1","-1","2","60","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_attack01.Meramon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_attack02.Meramon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_special01.Meramon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_damage.Meramon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_guard.Meramon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_getup.Meramon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_down.Meramon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_win.Meramon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_eat.Meramon_Anim_eat'","1000","1500","250","150","150","150","None","-1","-1","100","-1","-1","-1","5","20","-1","-1","10","28","False","False","Agumon","None","None","None","None","MetalGreymon","Andromon","None","None","None","None"
BlueMeramon,"BlueMeramon","BlueMeramon","SuperCarrot","Champion","Virus","Ice","None","Battle","Sunset","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_BlueMeramon.DigimonSprite_BlueMeramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Meramon/SkeletalMesh_Meramon.SkeletalMesh_Meramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Meramon/Animation_Meramon.Animation_Meramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Meramon/DigimonMaterial_BlueMeramon.DigimonMaterial_BlueMeramon'"")","0","20","80","35","8","1","36","0","200","1.100000","J_head","J_head","J_center","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00012.SL_00012'","None","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","4","9","14","18","23","-1","-1","-1","0","1","2","3","4","5","6","10","12","13","-1","-1","-1","-1","-1","-1","2","60","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_attack01.Meramon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_attack02.Meramon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_special01.Meramon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_damage.Meramon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_guard.Meramon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_getup.Meramon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_down.Meramon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_win.Meramon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Meramon/Meramon_Anim_eat.Meramon_Anim_eat'","1000","1500","250","150","150","150","None","-1","-1","100","-1","-1","-1","5","20","-1","-1","10","28","False","False","Agumon","None","None","None","None","MetalGreymonVirus","Andromon","None","None","None","None"
MetalEtemon,"MetalEtemon","MetalEtemon","OrangeBanana","Ultimate","Virus","Battle","Air","Filth","Sunset","HP and Defense","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_MetalEtemon.DigimonSprite_MetalEtemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/MetalEtemon/SkeletalMesh_MetalEtemon.SkeletalMesh_MetalEtemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/MetalEtemon/Animation_MetalEtemon.Animation_MetalEtemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/MetalEtemon/DigimonMaterial_MetalEtemon.DigimonMaterial_MetalEtemon'"")","0","40","80","42","7","1","36","0","300","1.050000","J_kubi","J_kuci","J_center","J_tuma_R","J_tuma_L","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_attack01.MetalEtemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_attack02.MetalEtemon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_special01.MetalEtemon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_damage.MetalEtemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_guard.MetalEtemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_getup.MetalEtemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_down.MetalEtemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_glad.MetalEtemon_Anim_glad'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalEtemon/MetalEtemon_Anim_eat.MetalEtemon_Anim_eat'","6000","3000","300","600","600","600","None","5000","5000","400","400","400","400","0","30","-1","95","20","49","False","False","None","None","None","None","None","None","None","None","None","None","None"
MetalGreymon,"MetalGreymon","MetalGreymon","SuperVeggy","Ultimate","Vaccine","Mech","Fire","Battle","Groogy","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_MetalGreymon.DigimonSprite_MetalGreymon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/MetalGreymon/SkeletalMesh_MetalGreymon.SkeletalMesh_MetalGreymon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/MetalGreymon/Animation_MetalGreymon.Animation_MetalGreymon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/MetalGreymon/DigimonMaterial_Metalgreymon.DigimonMaterial_Metalgreymon'"")","3","50","80","45","11","1","36","0","400","1.100000","J_atama","J_ago","J_center","J_tumasaki_R","J_tumasaki_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating02.Eating02'","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00011.VLALL_00011'","None","0","4","8","12","16","20","-1","-1","5","6","7","8","9","14","15","40","41","42","43","44","45","46","47","-1","42","78","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_attack01.MetalGreymon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_attack02.MetalGreymon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_special01.MetalGreymon_Anim_special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_special02.MetalGreymon_Anim_special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_damage.MetalGreymon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_guard.MetalGreymon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_getup.MetalGreymon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_down.MetalGreymon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_win.MetalGreymon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_eat.MetalGreymon_Anim_eat'","5000","5000","500","500","500","500","None","4000","3000","500","500","300","300","10","65","95","-1","30","30","False","True","Greymon","Meramon","Monochromon","Drimogemon","Tyrannomon","None","None","None","None","None","None"
MetalGreymonVirus,"MetalGreymon","MetalGreymon","SuperVeggy","Ultimate","Virus","Mech","Fire","Battle","Groogy","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_MetalGreymonVirus.DigimonSprite_MetalGreymonVirus'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/MetalGreymon/SkeletalMesh_MetalGreymon.SkeletalMesh_MetalGreymon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/MetalGreymon/Animation_MetalGreymon.Animation_MetalGreymon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/MetalGreymon/DigimonMaterial_MetalgreymonVirus.DigimonMaterial_MetalgreymonVirus'"")","3","50","80","45","11","1","36","0","400","1.100000","J_atama","J_ago","J_center","J_tumasaki_R","J_tumasaki_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating02.Eating02'","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00011.VLALL_00011'","None","0","4","8","12","16","20","-1","-1","5","6","7","8","9","14","15","40","41","42","43","44","45","46","47","-1","42","78","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_attack01.MetalGreymon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_attack02.MetalGreymon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_special01.MetalGreymon_Anim_special01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_special02.MetalGreymon_Anim_special02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_damage.MetalGreymon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_guard.MetalGreymon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_getup.MetalGreymon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_down.MetalGreymon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_win.MetalGreymon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalGreymon/MetalGreymon_Anim_eat.MetalGreymon_Anim_eat'","5000","5000","500","500","500","500","None","4000","3000","500","500","300","300","10","65","-1","95","30","30","False","True","Greymon","BlueMeramon","Monochromon","Drimogemon","Tyrannomon","None","None","None","None","None","None"
MetalMamemon,"MetalMamemon","MetalMamemon","SweetNut","Ultimate","Data","Battle","Mech","None","Day","HP and Defense","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_MetalMamemon.DigimonSprite_MetalMamemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/MetalMamemon/SkeletalMesh_MetalMamemon.SkeletalMesh_MetalMamemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/MetalMamemon/Animation_MetalMamemon.Animation_MetalMamemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/MetalMamemon/DigimonMaterial_MetalMamemon.DigimonMaterial_MetalMamemon'"")","3","5","80","24","5","1","36","0","100","1.200000","J_center","J_mouth","J_center","J_toeR","J_toeL","None","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00001.VLALL_00001'","None","2","6","11","16","21","-1","-1","-1","8","9","10","11","12","13","14","15","41","42","43","44","47","-1","-1","-1","42","76","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_attack01.MetalMamemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_attack02.MetalMamemon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_special01.MetalMamemon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_damage.MetalMamemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_guard.MetalMamemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_getup.MetalMamemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_down.MetalMamemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_win.MetalMamemon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/MetalMamemon/MetalMamemon_Anim_eat.MetalMamemon_Anim_eat'","3000","3000","600","600","600","500","None","-1","-1","500","400","400","400","15","10","95","-1","-1","30","False","True","Monochromon","Kabuterimon","Ninjamon","Frigimon","None","None","None","None","None","None","None"
Monochromon,"Monochromon","Monochromon","DigiCatfish","Champion","Data","Fire","Battle","Earth","Day","HP and Defense","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Monochromon.DigimonSprite_Monochromon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Monochromon/Monochromon.Monochromon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Monochromon/Animation_Monochromon.Animation_Monochromon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Monochromon/DigimonMaterial_Monochromon.DigimonMaterial_Monochromon'"",""/Script/Engine.Material'/Game/Digimon/Characters/Monochromon/DigimonMaterial_Monochromon.DigimonMaterial_Monochromon'"")","0","40","80","53","12","1","36","0","400","3.000000","J_ago","J_ago","J_center","J_end2","J_end5","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","None","None","None","None","2","6","10","14","18","22","-1","-1","1","2","3","5","7","8","13","14","26","27","31","-1","-1","-1","-1","-1","2","103","None","None","None","None","None","None","None","None","None","None","2000","1500","150","250","150","200","None","1000","-1","-1","100","-1","100","3","40","-1","-1","5","35","True","True","Agumon","Gabumon","None","None","None","MetalGreymon","MetalMamemon","None","None","None","None"
Monzaemon,"Monzaemon","Monzaemon","DigiPine","Ultimate","Vaccine","Battle","Air","None","Day","HP and Defense","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Monzaemon.DigimonSprite_Monzaemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Monzaemon/SkeletalMesh_Monzaemon.SkeletalMesh_Monzaemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Monzaemon/Animation_Monzaemon.Animation_Monzaemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Monzaemon/DigimonMaterial_Monzaemon.DigimonMaterial_Monzaemon'"")","2","40","80","40","8","1","36","200","300","1.200000","J_head","J_head","J_chest","J_foot_r","J_foot_l","None","None","None","None","None","2","6","11","16","21","-1","-1","-1","8","9","10","11","12","13","14","15","16","18","19","20","22","-1","-1","-1","11","59","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_attack01.Monzaemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_attack02.Monzaemon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_special01.Monzaemon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_damage.Monzaemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_guard.Monzaemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_getup.Monzaemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_down.Monzaemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_win.Monzaemon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Monzaemon/Monzaemon_Anim_eat.Monzaemon_Anim_eat'","5000","5000","500","500","500","500","None","3000","3000","300","300","300","300","0","40","-1","-1","50","49","False","True","Numemon","None","None","None","None","None","None","None","None","None","None"
Myotismon,"Myotismon","Vamdemon","Steak","Ultimate","Virus","Air","Battle","None","Night","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Myotismon.DigimonSprite_Myotismon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Myotismon/SkeletalMesh_Myotismon.SkeletalMesh_Myotismon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Myotismon/Animation_Myotismon.Animation_Myotismon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Myotismon/DigimonMaterial_Myotismon.DigimonMaterial_Myotismon'"")","0","30","80","0","0","1","36","0","200","1.050000","J_head","J_head","J_center","J_toe_r","J_toe_l","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_attack01.Myotismon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_attack02.Myotismon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_special01.Myotismon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_damage.Myotismon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_guard.Myotismon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_getup.Myotismon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_down.Myotismon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_win.Myotismon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Myotismon/Myotismon_Anim_eat.Myotismon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Nanimon,"Nanimon","Nanimon","Sirloin","Champion","Virus","Filth","Battle","None","Sleepy","Filth","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Nanimon.DigimonSprite_Nanimon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Nanimon/SkeletalMesh_Nanimon.SkeletalMesh_Nanimon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Nanimon/Animation_Nanimon.Animation_Nanimon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Nanimon/DigimonMaterial_Nanimon.DigimonMaterial_Nanimon'"",""/Script/Engine.Material'/Game/Digimon/Characters/Nanimon/DigimonMaterial_Nanimon.DigimonMaterial_Nanimon'"")","6","20","80","35","9","1","36","0","200","1.000000","J_hara","J_hara","J_center","J_tuma_R","J_tuma_L","None","None","None","None","None","1","5","9","13","17","21","-1","-1","12","13","14","48","49","50","51","53","54","55","-1","-1","-1","-1","-1","-1","54","64","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_attack01.Nanimon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_attack02.Nanimon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_special01.Nanimon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_damage.Nanimon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_guard.Nanimon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_getup.Nanimon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_down.Nanimon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_win.Nanimon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Nanimon/Nanimon_Anim_eat.Nanimon_Anim_eat'","-1","-1","-1","-1","-1","10","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","Digitamamon","None","None","None","None","None"
