---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
106,"Set PStat","None","","!=","4","5","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
107,"addToPStat","None","","!=","5","5","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
108,"if PSTAT","None","","!=","6","9","111","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
109,"Set PStat","None","","!=","4","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
110,"addToPStat","None","","!=","5","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
111,"Monochrome Shop Show Profit","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
116,"Jump To","None","","!=","0","0","366","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
117,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
118,"addToPStat","None","","!=","3","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
119,"if PSTAT","None","","<","3","3","118","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
120,"if PSTAT","None","",">","1","99","118","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
121,"Jump To","None","","!=","0","0","355","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
122,"if PSTAT","None","","!=","3","2","121","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
123,"if PSTAT","None","",">","1","49","121","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
124,"Jump To","None","","!=","0","0","355","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
125,"if PSTAT","None","","!=","3","1","124","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
126,"if PSTAT","None","",">","1","49","124","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
127_0,"Jump To","None","","!=","0","0","355","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
128,"ShowTextBox","Piyomon","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""1A72B5454206890A2159FA86D5512B85"", ""You\'re charging too much!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
129,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""FC1A4D3646194CAB4A988B9A685CD862"", ""Really? Well then..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
127,"Jump To","None","","!=","0","0","15","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
132,"ShowTextBox","Vegiemon","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E0208CCA417EB1CF81288B92DEDC7557"", ""Boy, I gotta get a <Item>Portable Potty</>."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
133,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""6E65252E4B07577956C6989AEA65011F"", ""Uh... Welcome, you want a <Item>Portable Potty</>?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
134,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
135,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((131, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""29B300944BD33F36C049CE826EDE84F7"", ""Raise price"")),(152, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""5BC6A47342768058037ABB8EE7876E70"", ""Keep price at 300 bits"")),(155, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""593ACBBD49A829D1AD828399054141F7"", ""Lower price"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
136,"Random PStat","None","","!=","1","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
137,"if PSTAT","None","",">","1","0","136","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
138,"Set PStat","None","","!=","6","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
139,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""671FF7574FC49117AC69A4A9CE300175"", ""How\'s a 300 bit <Item>Portable Potty</>, for 450 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
140,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((168, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""AFDE94EA4075725E232D6BAFBF891401"", ""Raise 300 to 450"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""397A4F7A47FB36A0039869A54C34F5A3"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
141,"if PSTAT","None","",">","1","1","140","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
142,"Set PStat","None","","!=","6","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
143,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""AEB5F59241294D796C896E9A7DCE4081"", ""How\'s a 300 bit <Item>Portable Potty</>, for 420 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
144,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((171, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""9379A5C04BB8DA5D85D7DB8ACA2EB399"", ""Raise 300 to 420"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""C7B305024804B9563ECACAAAE0662723"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
145,"if PSTAT","None","",">","1","2","144","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
146,"Set PStat","None","","!=","6","3","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
147,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""BB4B96B24395D374F5CC098715EFF470"", ""How\'s a 300 bit <Item>Portable Potty</>, for 390 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
148,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((174, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""C9D637B2474FAF1B7C6F54AD14282E8D"", ""Raise 300 to 390"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""2F6AD9764AE88586E9CE8AB754C5B7C9"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
149,"if PSTAT","None","",">","1","3","148","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
150,"Set PStat","None","","!=","6","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
151,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""9311535649807F67EF965F8C60F6A662"", ""How\'s a 300 bit <Item>Portable Potty</>, for 360 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
152,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((177, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E89B8FA44D168DC4FE37299FAFA036E2"", ""Raise 300 to 360"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""FC5CF2634AA1954024F0A1AFA71E13E5"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
153,"if PSTAT","None","",">","1","4","152","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
154,"Set PStat","None","","!=","6","5","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
155,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""C23A59CE4AE93F77B5430AA127387FA5"", ""How\'s a 300 bit <Item>Portable Potty</>, for 330 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
156,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((181, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""EC8F9FDD499BFFF67A08488C7F18EBB9"", ""Raise 300 to 330"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""F12808E545325D036072C88556F4FC0B"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
157,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
158,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""4740F80C41216DC1D6ACE8816D09E3F6"", ""How about a 300 bit <Item>Portable Potty</>, at regular price?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
159,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((184, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""F173C6684EE649F0532998A93DEAECC9"", ""Offer at regular price"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""EFAEDE9144A0928C3CA548A0587E5D3B"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
160,"Random PStat","None","","!=","1","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
161,"if PSTAT","None","",">","1","0","164","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
162,"Set PStat","None","","!=","6","7","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
163,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""71F392B044EE011051ACF78DD3445FB3"", ""How\'s a 300 bit <Item>Portable Potty</>, for 270 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
164,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((187, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E01937944CF0E545250849B4F11A82B0"", ""Lower 300 to 270"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E32BE3E545E6EE4B4D2672B8DC21D1EA"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
165,"if PSTAT","None","",">","1","1","168","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
166,"Set PStat","None","","!=","6","8","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
167,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""D9126BEA4B0D8095085D18B3E237B026"", ""How\'s a 300 bit <Item>Portable Potty</>, for 240 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
168,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((191, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""CC37F8674621A59F38541AACA055ADF8"", ""Lower 300 to 240"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""ED75D6324A99AEB9267FD9AEF887D0BF"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
169,"if PSTAT","None","",">","1","2","172","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
170,"Set PStat","None","","!=","6","9","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
171,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""D62C7CB448E5DE81F400C2AE8BAD36D0"", ""How\'s a 300 bit <Item>Portable Potty</>, for 210 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
172,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((195, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""B21151584059F50A4FBBC8A010ACDD77"", ""Lower 300 to 210"")),(129, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""CA6046AF4A95E4404D2888AA9C3556A7"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
173,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
174,"if PSTAT","None","",">","1","44","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
175,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
176,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
177,"if PSTAT","None","",">","1","49","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
178,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
179,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
180,"if PSTAT","None","",">","1","54","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
181,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
182,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
183,"if PSTAT","None","",">","1","59","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
184,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
185,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
186,"if PSTAT","None","",">","1","64","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
187,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
188,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
189,"if PSTAT","None","",">","1","69","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
190,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
191,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
192,"if PSTAT","None","",">","1","74","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
193,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
194,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
195,"if PSTAT","None","",">","1","79","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
196,"Jump To","None","","!=","0","0","194","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
197,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
198,"if PSTAT","None","",">","1","84","231","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
199,"ShowTextBox","Piyomon","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""3B8C38D445A47C73A136DF86F7DEAFCF"", ""Okay, I\'ll buy it!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
200,"addToPStat","None","","!=","2","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
201,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_MonochromeShop_Success.UI_MonochromeShop_Success'","None"
202,"Delay","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
203,"if PSTAT","None","","!=","6","1","201","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
204,"Set PStat","None","","!=","4","240","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
205,"addToPStat","None","","!=","5","240","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
206,"if PSTAT","None","","!=","6","2","204","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
207,"Set PStat","None","","!=","4","210","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
208,"addToPStat","None","","!=","5","210","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
209,"if PSTAT","None","","!=","6","3","207","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
210,"Set PStat","None","","!=","4","180","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
211,"addToPStat","None","","!=","5","180","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
212,"if PSTAT","None","","!=","6","4","210","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
213,"Set PStat","None","","!=","4","150","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
214,"addToPStat","None","","!=","5","150","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
